heading,location,content,id,area,n_bedrooms,n_bathrooms,Price
Flat for sale in calle Santa Engracia.,"Almagro, Madrid city","aProperties presents a wonderful exterior flat in chaflán, with balconies, refurbished brand new, of 146 m², according to land registry, in the heart of Almagro - Chamberí neighbourhood (CURRENTLY UNDER REFURBISHMENT).  

The property consists of: 2 double bedrooms, 2 en-suite bathrooms, toilet, integrated kitchen and a spacious living-dining room with different atmospheres. There is also a storage room of about 25 m² in the lower part of the building.

The extraordinary light of the property stands out, totally exterior, with 12 openings to the street, including a fantastic bay window.  

The refurbishment is being carried out in a comprehensive manner, taking advantage of all the spaces in a practical and elegant way, with a style of refined and contemporary lines.  

It has an air conditioning system with hot and cold pump and individual heating.  

The property is located in a classic mid-20th century building with no architectural barriers.  

The infographics correspond to the final result of the refurbishment. It will be handed over furnished and the kitchen will be fully equipped with top of the range appliances. 

We find ourselves, therefore, with a wonderful property in one of the most sought-after areas of Madrid, the Chamberí district, between the metro stations of Alonso Cano and Iglesia, surrounded by all the necessary services, local shops and a multitude of leisure options.  

Can you imagine living here?",VM2402033,146 m2,2,3,"€ 1,300,000"
Flat for sale in Castellana.,"Recoletos, Madrid city","If you are looking for a property with a privileged location, this is the ideal one. The property offers excellent distribution possibilities, it currently consists of a living room, dining room, kitchen and a spectacular terrace. The night area has three bedrooms, the master bedroom with en suite bathroom, the second bedroom and the third bedroom with a complete exterior bathroom. All of them with great storage capacity.

The building has a service staircase and lift, as well as a porter service, which guarantees your safety and comfort. The area in which the flat is located is residential and commercial, with a high standard of living, large pavements and a wide cultural and gastronomic offer.

If you are looking for a property in a dynamic and safe area, with buildings of great architectural value, you cannot miss this opportunity. In addition, the location of the property is very close to the ""Golden Mile"", where all the luxury shops are located. Don't wait any longer to visit this magnificent flat for sale in the Salamanca neighbourhood!

Can you imagine living here?",VM2402027,187 m2,3,3,"€ 2,395,000"
Flat for sale in Sol.,"Sol, Madrid city","Aproperties offers for sale this great investment opportunity in the heart of the Sol district, 2 minutes walk from Puerta del Sol and the Canalejas Gallery. 

It is a ground floor, formerly a shop, and registered as a home. 

The living room is accessed from the large entrance hall, which acts as a distributor to the storage room-pantry, and to a first room used as an office, as well as to the next area of the property. In this last area, we find a very spacious master bedroom with built-in wardrobe and complete bathroom and a last bedroom, currently used as a dressing room with toilet. This interior area has 4 windows overlooking the quiet interior patio, very well kept and full of plants.

Excellent investment opportunity, both for the exclusive location of the property, (very rentable product with high profitability), and for the possibilities of living in a family home refurbished to the buyer's taste.

Can you imagine living here?",VM2402032,132 m2,3,2,"€ 760,000"
House for sale in  Colonia Torrelodones,"Las Marías, Madrid Noroeste","aPropreties presents this magnificent detached villa of 881 m², built with granite and brick facade, in the urbanisation of Las Marías in Torrelodones. The plot where it is located has a surface area of 3.345 m².

The access to the house is through a hall from which you reach the large living-dining room, adjacent to this room there is a second TV room with fireplace and direct access to a porch.

In the dining room area a door gives access to the kitchen, which is divided into an office, a washing area, a kitchen and another area with furniture and worktop to organise meals. The kitchen has an independent entrance from the outside.

From there, a staircase leads down to the service area where there are two bedrooms sharing a bathroom, as well as a games room with direct access to the outside.

On the same floor is located the boiler room, two gasoil tanks, a storage room and the wine cellar.

Returning to the entrance hall, this also leads us to the night area where there are 6 bedrooms and 5 bathrooms. They are distributed in a corridor that leaves on the right hand side 4 bedrooms, two of them connected to each other and on the left hand side there are three complete bathrooms, and an anteroom with a fireplace from which you can access the master bedroom with en suite bathroom. In this anteroom, going up a staircase, you reach the tower room which also has an en suite bathroom and an area which can be used as an office or a bedroom and where there is a fireplace.

The electrical installations, the boiler and the oil tanks were renovated less than 10 years ago.

Outside there is a large swimming pool which is filled thanks to the water from the two wells on the plot, a porch with built in sofas, a gazebo and some changing rooms for the swimming pool.

There is the possibility of purchasing 3 adjacent plots of 1040 m², 1.033 m² and 1.064 m² respectively, which at the moment are not physically separated from the property for sale, but are registered in the land registry. The total area of this property and the land is 6.482 m². If you are interested, please ask us for the price of the whole property. 

Can you imagine living here?",VMO2403007,881 m2,8,6,"€ 1,500,000"
House for sale in Colonia Torrelodones,"Las Marías, Madrid Noroeste","Apropreties presents this magnificent detached villa of 881 m², built with granite and brick facade, unprotected building, in the urbanisation of Las Marias in Torrelodones.

The total area of the plot where the house is located is 6.482 m².

The main plot is 3,345 m and has three adjacent plots which, although segregated, are currently integrated into the whole, with a surface area of 1,040 m², 1,033 m² and 1,064 m² respectively.

The applicable regulations are the Normas Subsidiarias de Torrelodones and the Modificación Puntual number 1/2013 of the NN SS of Torrelodones. The NN SS classify the plots as zone 4 RUA (Residential Single-Family Isolated).

The conditions of the ordinance that apply to these plots are those established in GRADE 2. RUA.2. Single-family residential on a plot of 1,000 m².

However, for the purposes of new segregations and land subdivisions, a minimum plot frontage of 20 metres to the street is established and it must be possible to inscribe a circle of 16 metres in diameter on the plot.

The buildability is 0.30 and the occupation of the plot 25%, maximum height of the ridge 11 metres and cornice 7.5 metres in a total of 2 floors.

The setbacks must be 3 m. to all boundaries and 4 m. to the street.

The access to the house is through a hall from which you reach the large living-dining room, adjacent to this room there is a second TV room with fireplace and direct access to a porch.

In the dining room area a door gives access to the kitchen, which is divided into a dining area, a laundry area, a kitchen and another area with furniture and worktop to organise meals. The kitchen has a separate entrance from the outside.

From there, a staircase leads down to the service area where there are two bedrooms sharing a bathroom, as well as a games room with direct access to the garden.

On the same floor is located the boiler room, two gasoil tanks, a storage room and the wine cellar.

Returning to the entrance hall, this also leads us to the night area where there are 6 bedrooms and 5 bathrooms. They are distributed in a corridor which leaves on the right hand side 4 bedrooms, two of them connected with each other and on the left hand side there are three complete bathrooms, and an anteroom with a fireplace from which we access the master bedroom which has an en-suite bathroom. In this anteroom, going up a staircase, you reach the tower room which also has an en-suite bathroom and an area which can be used as an office or a bedroom and where there is a fireplace.

The electrical installations, the boiler and the gasoil tanks were renovated less than 10 years ago.

Outside there is a large swimming pool which is filled by water from the three wells on the plots, a porch with built in sofas, a gazebo and pool changing rooms.

In one of the plots there is a tennis court and an outdoor bowling alley.

On the other two plots there is a caretaker's house and various storage rooms.

Can you imagine living here?",VMO2403008,881 m2,8,6,"€ 2,850,000"
Flat for sale in Pozuelo de Alarcón.,"Zona Pueblo, Madrid Noroeste","aProperties presents a stately flat totally refurbished with great qualities and design in Pozuelo de Alarcón.

The property of 239 m2 built, is accessed through a spacious hall-distributor that leads us to an important living room with two rooms with large windows that give access to a terrace of 40m2 conditioned for use in all seasons of the year. The kitchen of 30m2 and office area with utility room. From the kitchen there is access to a bedroom with en-suite bathroom that can be used as a service area or office. In the rest area, we find 3 bedrooms and 3 complete bathrooms, one of them en suite and with direct access to the terrace. The whole property has AACC by ducts and individual central heating. Included in the rent is a double garage space for two vehicles.  

The property is located in an extraordinary residential area in the centre of Pozuelo de Alarcón, within a gated community with 24 hour security, gardens, two swimming pools, gymnasium and children's playground.

Close to renowned schools such as the American School, Retamar, Kensington School and the British Council, among others. With quick access to major roads such as the M-40 and the N-VI road to La Coruña and close to shopping centres such as Hipercor, Sexta Avenida and Zielo and a large number of local shops, both in the town and in Avda. de Europa. 

Can you imagine living here?",VMO2402004,239 m2,4,3,"€ 990,000"
Flat for sale in Recoletos.,"Recoletos, Madrid city","We present this beautiful property in the process of being refurbished and located in the heart of Recoletos, a stone's throw away from the emblematic Mercado de La Paz. 

It is the fourth and last floor of a beautiful classic 1900's building with a façade of French balconies. Currently, the property does not have a lift, but there is already a project pending for a license. It has 110 m² constructed area according to the land registry which is distributed in a beautiful living room facing east with two French balconies that receive a beautiful morning light. The semi-integrated designer kitchen with all appliances panelled and fully equipped. The master bedroom has a dressing area and en-suite bathroom facing west with unobstructed views. Two double bedrooms with two complete bathrooms, one of them also en suite, complete the night area. 

The refurbishment has been carried out to the highest standards, taking care of every detail, creating a modern designer home without losing the functionality and the classic essence of the property. 

Can you imagine living here?",VM2402020,110 m2,3,3,"€ 1,500,000"
Penthouse for sale in Goya (Madrid),"Recoletos, Madrid city","Located in the heart of Recoletos, an unbeatable location between Serrano street and Paseo de la Castellana next to the Plaza de la Independencia and the Puerta de Alcalá, in the representative street of Recoletos, is this exceptional property in a modern building with a large portal and well-kept common areas occupying a full floor with large windows overlooking the street.

The property is characterized by its unbeatable location, the spaciousness of all its rooms, the excellent distribution that offers multiple possibilities for reform.

The day area has a huge living room connected to a gigantic kitchen with office room service bathroom and service door, plus a large toilet courtesy ..,

The day area the night area, is composed of four huge double bedrooms with large fitted closets, two of them with en suite bathroom and the main one with a desirable dressing room. The property is attachable and there is the option of parking spaces on the property, direct access, not included in the price.

The building has a concierge

Can you imagine living here?",VM2402014,424 m2,5,4,"€ 4,500,000"
Flat for sale in calle Alcalá,"Jerónimos, Madrid city","This is a 2nd floor apartment in a regal building located between Puerta de Alcalá and Plaza de Cibeles. It has 403 m² according to the land registry, of which 372 m² are living space. 

The proposed refurbishment consists of 3 exterior living rooms with 4 balconies facing Alcalá street, large dining room and independent kitchen, guest toilet and laundry area or service room. The private area consists of 4 bedrooms and 4 bathrooms, 3 of them en-suite, and two of the bedrooms have a large dressing room.

Can you imagine living here?",VM2402015,403 m2,4,5,"€ 9,250,000"
Flat for sale in Recoletos (Madrid),"Recoletos, Madrid city","In the heart of the exclusive Recoletos neighborhood, in one of its most beautiful and representative streets, Lagasca street, surrounded by the best boutiques and restaurants, APROPERTIES offers for sale this magnificent property completely renovated and brand new.

The property is located on an interior second floor and has 150m² built that are distributed in a day area formed by a spacious and bright living room overlooking a large and very bright courtyard due to its east orientation. This room is integrated into a fully equipped designer kitchen with high-end appliances and creating a spacious area, combining maximum elegance and comfort. The sleeping area consists of three large bedrooms with fitted closets and three complete bathrooms en suite. The house also has an additional guest toilet and a practical laundry area separate from the kitchen.

It has air conditioning and underfloor heating. The building where the property is located is a nice building with a large entrance, elevator cage and has concierge service. 

Can you imagine living here?",VM2402016,148 m2,3,4,"€ 1,550,000"
Flat for sale in Nuevos Ministerios.,"Nuevos Ministerios - Ríos Rosas, Madrid city","Beautiful flat of 148 m², located on the sixth floor of a beautiful property very close to Santa Engracia street. The property consists of a spacious living room with dining area and fully fitted kitchen with high end appliances and a beautiful island as a central focus. The room is flooded with a beautiful natural light thanks to its south orientation.  There is a separate laundry area. Moving on to the night area, we have three double bedrooms with dressing room and three complete bathrooms (two of them en suite).

This refurbishment will be finished approximately in March 2024, following faithfully the photographs of a similar property. It will be furnished with great taste, choosing quality materials and design.

Can you imagine living here?",VM2402003,148 m2,3,3,"€ 1,065,000"
Flat for sale in calle Fuente del Berro.,"Goya, Madrid city","Aproperties presents a flat of 151 m² constructed according to the land registry in the neighbourhood of Goya - Salamanca. 

We access the property through a very large open space with several rooms in which we have the dining area, the kitchen and the living room. Subsequently, we have 2 double bedrooms and 2 bathrooms (one of them en-suite). From one of them we have access to a very large and sunny patio-terrace of about 25 m² which overlooks a small and quiet street.  

The property is located on the ground floor, with a lot of privacy, very easy access, in a very well preserved mid-20th century building with concierge service.  

We have, therefore, a great property both as an investment and as a permanent residence in the heart of the Salamanca neighbourhood, just a stone's throw from El Corte Inglés de Goya. 

Can you imagine living here?",VM2401085,166 m2,2,2,"€ 685,000"
Flat for sale in calle Hilarión Eslava.,"Gaztambide, Madrid city","Very spacious property in Hilarión Eslava street, consisting of several living rooms, dining room, 5 bedrooms and 3 bathrooms, plus two terraces, one to the east and one to the west. This magnificent property is located in Chamberí in a residential area, surrounded by all services and very close to the Parque del Oeste. The price includes a huge storage room and a parking space. The property is classic with concierge, lift and central heating. 

Can you imagine living here?",VM2401086,276 m2,5,3,"€ 1,440,000"
Flat for sale in Sol (Madrid),"Sol, Madrid city","In one of the most representative streets of Sol, Carrera de San Jerónimo, next to the luxurious Espacio Canalejas and with privileged views of the Puerta del Sol, we find a cozy apartment renovated and furnished brand new.

The building, with a classic facade dating from 1900, does not have an elevator, but houses a unique home with three bedrooms and three bathrooms, one of them en suite, and an integrated kitchen and living room with balconies overlooking the street.

Carefully selected materials and an interior designed with every detail in mind, make this property a unique investment in the heart of Madrid.

Can you imagine living here?",VM2401081,112 m2,3,3,"€ 989,000"
Flat for sale in Plaza de España.,"Argüelles, Madrid city","Exclusive property located in Plaza España, a few metres from Gran Vía, the Royal Palace, the Sabatini Gardens and the Parque del Oeste. One of the best enclaves in Madrid, where you can enjoy the most representative monuments and large green areas.

This is a 1940's building, with doorman, main and service lift, large entrance and parking in the building.

The property has been completely refurbished, with the best qualities and design; it includes a double parking space in the building and storage room.

If we go inside this spectacular flat, we can find a spacious social area, which connects a spectacular living-dining room, with access to the terrace, and a spectacular kitchen area with laundry area. The property also has a large sleeping area, consisting of 4 double bedrooms with en-suite bathrooms, a service bedroom with a complete bathroom and a guest toilet.

The spaces are cared for to the last detail, offering us a house with proportionate dimensions, which adapt to all lifestyles.

Can you imagine living here?",VM2401080,323 m2,5,7,"€ 2,990,000"
Flat for sale in Malasaña - Universidad (Madrid),"Malasaña - Universidad, Madrid city","In the street that gives its name to the most alternative neighborhood of the capital, in its quietest section, next to Fuencarral, we find a bright second floor exterior completely renovated.

 The social area is distributed in a large kitchen designed to measure and fully equipped, with dining room, separate living room with balconies overlooking the street and a bathroom that serves as a toilet. The private area is distributed in three double bedrooms, two of them with en suite bathroom.

The property is located in a beautiful estate of 1905 and its interior design has respected original elements of its architecture, creating cozy and functional spaces with charm.

An exceptional opportunity to invest in an elegant home perfectly located in the center of Madrid.

Can you imagine living here?",VM2401082,133 m2,3,3,"€ 1,150,000"
Flat for sale in Recoletos (Madrid),"Recoletos, Madrid city","Magnificent exterior housing in regal estate of beautiful classic facade, large portal and well-kept common areas with beautiful French balconies to a representative street of the exclusive Recoletos neighborhood, surrounded by restaurants, stores and services.

The property is characterized by its classic beauty of the property, its high floor which explains the extraordinary luminosity of all its rooms, its high ceilings, its beautiful balconies to the street, its beautiful views facing west. The house has a magnificent and bright living room with two beautiful French balconies from which you can enjoy wonderful views of the street, wide and tree-lined, as well as the beautiful buildings of classic facade located in front, has a cheerful kitchen equipped with appliances and its own window.

The night area consists of two beautiful bedrooms with fitted closets, one of them with en suite bathroom and two complete bathrooms.

The property has concierge service.

Can you imagine living here?",VM2401078,112 m2,2,2,"€ 1,850,000"
House for sale in Zona Pueblo (Pozuelo),"Zona Pueblo, Madrid Noroeste","aProperties presents this spectacular single-family property in the exclusive urbanization ""Álamos de Bularas"" in Pozuelo de Alarcón.

The property is located on a large plot of 5.737m2.

The villa has 3 floors, which are distributed as follows

On the main floor there is a large entrance hall and two guest toilets, the central distributor has a heated indoor pool and a double height illuminated by a skylight dome that gives a lot of light to the room, next to it we have a large living room, also with double height and lots of light, the dining room, the kitchen and the service area, where there is a bedroom with bathroom and ironing area and laundry, there are also three very spacious bedrooms all with dressing room and bathroom en suite and a living room that can serve as a bedroom, on the same floor there is a gym area with changing rooms, showers, sauna and Turkish bath.

Going up a flight of stairs, in a mezzanine, located between the first and second floor, we find another bedroom with dressing room and en suite bathroom and private terrace. Already on the second floor other rooms such as the library and

In the basement, we find a multipurpose room with bar, professional bowling and archery gallery, a service bedroom and bathroom and repair shop, photographic laboratory and facilities room.
The covered outdoor parking has capacity for eight vehicles.

It has a large garden, outdoor pool, barbecue, stone oven andgazebo.

Can you imagine living here?",VMO2401010,"2,034 m2",7,8,"€ 3,950,000"
Penthouse for sale in Almagro.,"Almagro, Madrid city","In one of the best streets of Almagro, on a corner, in a classic building completely renovated in 2005, we present this unique property in Madrid to be refurbished.

It consists of 4 penthouses together, which according to the deed of sale total 332 m² of housing, but also has some additional storage rooms of approximately 100 m² that would allow to make a fabulous duplex, but what makes this property a unique apartment in Madrid is the spectacular and exclusive terrace of 172 m² that borders the entire penthouse, the orientation is south and east, the privacy is total and unobstructed views of all Madrid make this penthouse of 600m2 a unique and exclusive apartment in Madrid capital.

The luminosity of the property, the spaciousness of all the spaces, the multiple possibilities of reform to adapt it to the taste and needs of the buyers and the comforts of a rehabilitated property make this penthouse a unique opportunity to live in one of the best properties in Madrid.

Can you imagine living here?",VM2401077,504 m2,5,4,"€ 6,000,000"
Flat for sale in Justicia.,"Chueca - Justicia, Madrid city","Excellent property of 179 m² cadastral, recently refurbished, located in a wonderful building of 1900, with lift and located in the neighbourhood of Justicia.  

The property is located on a first floor exterior with 3 balconies to the street, a spectacular living room with fireplace, consists of 2 double bedrooms with bathroom en suite. Semi-open kitchen with large island in the centre and fully equipped with top brand appliances. 

The property has individual heating and also has ducted hot/cold air conditioning throughout.  

A flat where every detail has been carefully taken care of to offer a unique and exceptional home.  In addition, the three-metre high ceilings with mouldings add a touch of classic elegance to this magnificent home.  

Justicia is a central and very popular neighbourhood in the city, located in the Centro district. It is known for its vibrant atmosphere, historic architecture and wide range of cultural and gastronomic offerings.

It is also very well served by public transport, with several metro stations and bus stops nearby, making it easy to get around the city.

Can you imagine living here?",VM2401075,179 m2,2,2,"€ 2,400,000"
Flat for in Goya.,"Goya, Madrid city","Luxury exterior flat located in Príncipe de Vergara street, a privileged residential area in the heart of the Salamanca district, Madrid. Its location is ideal, being just a few metres from Calle Goya and Jorge Juan, two of the most representative streets in the area.

THE BUILDING:

We are in front of a building from 1960, the building has a physical and automatic doorman, centralised heating and hot water.
It has 8 floors above ground, main lift, service lift and two neighbours per floor.

THE HOUSING:

The property includes two large parking spaces in the building's garage with direct access from the service lift.

It is a complete refurbishment, in which all the installations have been replaced: electricity, plumbing and air conditioning. The refurbishment has been carried out with the best qualities and an avant-garde design.

The social area, very luminous thanks to its three large windows and terrace, all facing outwards (west), has a guest toilet, an independent office with exterior window, two large living rooms and the dining room from which you can access the spacious terrace with views of Príncipe de Vergara. 

The kitchen is enclosed with three large glass doors and floor-to-ceiling wrought ironwork; it has stone floors and a large island and plenty of storage space.

The sleeping area comprises the master suite, three double bedrooms and two full bathrooms.

The master suite, also exterior, has a large dressing room with central island of accessories and en-suite bathroom. The toilet has its own independent space. Next, we will see a double washbasin, in vanity format. Finally, we come to the wet area, which has a large freestanding bathtub and a huge 4 m² shower finished in natural stone and stucco.

The property has high ceilings and new natural wood floors, smooth walls, new double glazed windows with hidden profile, central heating by natural gas and air conditioning in all rooms by means of hot and cold ducts.

Can you imagine living here?",VM2401076,300 m2,5,5,"€ 4,000,000"
Flat for sale in calle Hermosilla.,"Recoletos, Madrid city","In the heart of the Recoletos neighbourhood, in one of the most prestigious and sought after areas of the capital, very close to the Retiro Park. This marvellous property is located on the fourth floor in a beautiful classic and elegant building from the beginning of the century. The property has 374 m² in cadastral value with high ceilings, three exterior balconies and a bay window that together offer beautiful panoramic views and a large amount of natural light. 

The current state of the property is to be refurbished, although we can provide the client with a fully customisable architectural and interior design project for consultation.

The property is segregable, has two lifts, porter, storage room and service entrance. The price includes two parking spaces of administrative concession.

This is undoubtedly a magnificent opportunity to live in the most exclusive and distinguished area of Madrid for its wide range of luxury services and amenities including fine dining restaurants, exclusive boutiques and art galleries.

Can you imagine living here?",VM2401068,376 m2,4,5,"€ 4,950,000"
House for sale in Ciudalcampo (San Sebastián de los Reyes),"Ciudalcampo, Madrid Norte","APROPERTIES REAL ESTATE presents an exclusive villa, recently renovated by a prestigious interior designer, located in one of the best areas of the urbanization, a few minutes from the access control to it, in a cul-de-sac with spectacular views of the mountains of Madrid. The plot, of 2.843m2, enjoys great privacy and tranquility.  The house, of 507m2, has spacious and bright rooms, a comfortable layout and top quality materials and great taste (limestone, oak floors, kitchen and bathroom of excellent design and quality). 

The house has two distinct areas, a social area, ideal to enjoy with family and friends, and another more private, very nice and cozy, with access to the garden and pool. 

From the main entrance we access the social area. The hall opens onto a dining room with several environments, nice living room with fireplace, spectacular dining room with huge windows and views of the countryside and then, in another environment differentiated by a glass, a second living room with fireplace. In the same social area there is an elegant kitchen, black and gold, and a guest toilet.  From the dining room and the kitchen there is access to a nice covered terrace of about 50m2. From the main floor there is access to the roof terrace with idyllic views of the sunset.  

On the first floor is the family area of the house. In one wing is located the youth area, with three large bedrooms, two bathrooms and a large living / study area, with access to the pool, and guest area, with large bedroom, dressing room and bathroom, and direct access to a nice porch and garden, and with beautiful views of the meadow. In the opposite wing is the master bedroom, very spacious and intimate, with living room with fireplace, office, dressing room, French style bathroom with sauna, and direct access to the porch and garden. On this same floor is the family kitchen with dining area, laundry area and refrigerator/pantry room. From the main entrance there is a staircase that leads directly to the kitchen, to receive orders and shopping. 

The service area and storage room are separate from the rest of the house.  The house has two covered parking spaces and additional parking area in the garden.  The air conditioning system of the house is by aerothermal installation, photovoltaic panels and air conditioning.  
The garden has been designed by a renowned landscape designer, and has a variety of established trees and low maintenance areas. 

An ideal home to enjoy with family and friends, newly renovated, with excellent quality and taste, in an idyllic setting and great privacy, with low costs thanks to the investment made in renewable energy. 

Can you imagine living here?",VMN2401007,507 m2,6,6,"€ 2,490,000"
Flat for sale in Castellana,"Castellana, Madrid city","In a building with a classic façade, this 55 m² flat is brand new, after a complete refurbishment and decorated with exquisite taste, choosing each piece of furniture suitable for the space. Kitchen integrated in the living room, fully furnished and equipped with all appliances and kitchenware to move in. The living room has a quality sofa-bed, spacious bathroom with shower, double bedroom with large built-in wardrobe and custom-made interior finishes. Oak wooden floors, thermal break windows, air conditioning hot/cold, top brand appliances. Building with concierge. Magnificent location, 4 minutes walk from the IE de María de Molina, quick access to the M-30, a wide variety of leisure areas, shopping centres and international study centres.

Can you imagine living here?",VM2401057,48 m2,1,1,"€ 485,000"
Flat for sale in Campo de las Naciones - Corralejos (Barajas),"Campo de las Naciones - Corralejos, Madrid Norte","AProperties presents penthouse with large terrace in Coronales, 171 meters built and 72 useful. It has a garage and storage room.

Living room and kitchen with direct access to a terrace and a spiral staircase leads to the roof terrace of 50 meters.

Views to the Juan Carlos I Park, walking two minutes away.

It has individual heating and air conditioning.

The common areas include gardens with swimming pools for adults and children, swings and paddle tennis court. Concierge and 24 hour security.

Can you imagine living here?",VMN2401006,171 m2,3,2,"€ 749,000"
Flat for sale in Jerónimos.,"Jerónimos, Madrid city","Spectacular exterior flat on the top floor of a stately estate in Jerónimos with a garage space in the estate with direct access included in the price. The property is characterised by its exceptional qualities, the right balance between the elegance and comfort of its design and the spaciousness of all its rooms and the excellent distribution of its spaces. 

It will have a magnificent large living room, dining area and sitting area, a magnificent designer kitchen with island and laundry room washer-dryer-cleaner and boiler with independent access through the service door.

Five beautiful bedrooms, all with en-suite bathrooms and fitted wardrobes. In addition, the master bedroom will also have a large dressing room.

The property has a concierge.

Can you imagine living here?",VM2401053,322 m2,4,4,"€ 4,347,000"
House for sale in Majadahonda.,"Majadahonda, Madrid Noroeste","Unique design detached house in Majadahonda, very close to the town centre and Monte del Pilar.

Spectacular and bright detached house, located in a quiet residential area within Monte de Pilar. In this very personal home, the opening of large windows and the choice of very high quality materials in floors, windows and solid wood doors were the main features of its design. On the main floor there is a magnificent hall that connects with a very open distribution with both the private areas and the common areas of the house: living room, dining room and kitchen.

From the central island of the spectacular and spacious kitchen there is access to all the appliances and furniture. The kitchen has a built-in office, with large windows through which you can directly access the garden and the Japanese garden of the house.

The private area of the main floor consists of three bedrooms, one of which is en suite.

From the hall, the stars lead us to the upper and lower floors. On the upper floor there is a large master bedroom with two terraces, two dressing rooms and a bathroom in marble and wood. The views of the Madrid mountains are spectacular.

The lower floor of the house pivots around a large multipurpose living room-library-office.

From this room there is access to the garage and a study or service room and a bathroom.

This floor is completed with an independent entrance, a gym, a wine cellar and a swimming pool purifier.

Can you imagine living here?",VMO2401006,800 m2,5,6,"€ 2,295,000"
New build villas in Pozuelo.,"Zona Avenida de Europa, Madrid Noroeste","Development of three unique homes in Pozuelo, where attention to detail is the top priority.
Located next to Avenida de Europa, with more than 410 m² of constructed area and more than 250 m² of plot.

Each house revolves around a landscaped interior courtyard and has: living-dining room with large porch and individual swimming pool, kitchen, four complete suites, office with bathroom, attic living room with bathroom, terrace with barbecue and magnificent views, laundry room, English courtyard and large garage for two large vehicles. The properties are independent of each other, not sharing facilities, areas or common expenses.
Among the main qualities are: GEOTHERMIA, HEATING FLOOR, COOLING and SOLAR PANELS.

Can you imagine living here?",ONM2401003,412-432 m2,,,"from € 1,495,000"
Penthouse for sale in calle Alcalá.,"Jerónimos, Madrid city","Spectacular penthouse in Jerónimos in Alcalá street. It is a complete floor of 590 m² located on the 5th floor, in one of the best buildings in Jerónimos, with a very representative entrance hall, majestic staircase with leaded glass windows and cage lift.

The penthouse is delivered completely demolished and with two different reform proposals.

It has an outdoor terrace of 99 metres with direct access from the living rooms.

A space of maximum luxury where you can design the house of your dreams.

Can you imagine living here?",VM2401040,589 m2,5,8,"€ 17,800,000"
House for sale in Pozuelo,"Zona Pueblo, Madrid Noroeste","Detached villa of 349 m² according to appraisal, renovated in 2020, with very good qualities.  

Located in a quiet area, with fabulous views of the mountains and excellent location in quiet area of Pozuelo. 

On the first floor, we find a bright living room, a toilet and a kitchen, the second floor houses two large bedrooms, both with en suite bathroom, one of them also has a dressing room, the second floor is a beautiful and spacious attic also en suite with views of the mountains.

In the basement, we have a bedroom with a large front of closets, a bathroom and a secondary equipped kitchen. From there you access the second basement where there is a large living room of about 150 m2, with plenty of height with fireplace and heated indoor pool. This living room is illuminated by a large skylight.

Outside we have a sun terrace and a covered garage with capacity for two cars.

The house is designed in such a way that it is possible to use it as two independent houses, with independent accesses. 
 
The whole house has automatic blinds, aluminum windows Climalit tilt and turn, smooth paint, tile floors and air conditioning with hot / cold pump.  

Can you imagine living here?",VMO2401003,349 m2,4,5,"€ 1,150,000"
House for sale in Las Lomas (Boadilla del Monte),"Las Lomas, Madrid Noroeste","aProperties presents this ideal villa, with complete renovation completed in 2021. Excellent qualities, careful finishes and high energy efficiency. The house enjoys excellent orientation, spacious and bright rooms, a fluid and functional distribution, and an integrated home automation system.

Organized on 2 floors the house is distributed as follows:

Main floor: Spacious hall with guest toilet and two closets; living room with 3 environments; fireplace and open to the garden; bright kitchen with island open to the dining room with sliding door and exit to the side porch and barbecue area; large office / bedroom and 2 bedrooms with en suite bathrooms.

Second floor: Master bedroom en suite and huge dressing room in corner with large window with views: 2 double bedrooms, one of them with attic, fitted as laundry and ironing room and storage area. 

Exterior: Porch with 3 rooms; landscaped garden with swimming pool with dry and wet beach area; plot conditioned as a forest with floral varieties that require low maintenance; barbecue area with slate finishes; covered outdoor parking area with capacity for 3 vehicles; shed with storage room and boiler room and aerothermal.

This house enjoys an excellent location within the urbanization, with orientation to green area and direct access to the park of Guadarrama. Quick access to the M516 and M50 highways.

Can you imagine living here?",VMO2401004,475 m2,6,6,"€ 1,550,000"
New build lofts for residential use in Ventas.,"Ventas, Madrid Norte","Discover this unique development comprising a total of 16 LOFT type homes for RESIDENTIAL USE, located in the Ventas neighbourhood, next to calle Alcalá and El Carmen metro station. The project is recently completed, so it is for immediate delivery.

You will find homes full of light and space, all exterior, each with independent access from the street, with double-height living rooms, large integrated kitchens and large windows overlooking the street. All homes have 2 complete bathrooms.

Living in a loft is the exact definition of living in a completely open space, without walls, corridors or doors that limit your space and your way of life. With great freedom to adapt the spaces to every moment of your life according to your needs.

Can you imagine living here?",ONM2401002,50-84 m2,,,"from € 290,000"
